system:index,elevacion,etiqueta,fecha,ndvi,pendiente,riesgo,temperatura,.geo
1_2020_07_01_+18325+7906,627.0,1,2020-03-01,4028.0,15.0,-726.74,15115.0,"{""type"":""Point"",""coordinates"":[-118.35156601271072,34.449856981660695]}"
1_2020_07_01_+18325+7907,688.0,1,2020-03-01,4034.0,13.0,-723.0960000000001,15033.0,"{""type"":""Point"",""coordinates"":[-118.33846263074246,34.454353584621984]}"
1_2020_07_01_+18327+7906,825.0,1,2020-03-01,3476.0,15.0,-597.692,14971.0,"{""type"":""Point"",""coordinates"":[-118.34020116314375,34.44760868018004]}"
1_2020_07_01_+18328+7904,654.0,1,2020-03-01,4729.0,14.0,-865.196,15033.0,"{""type"":""Point"",""coordinates"":[-118.3474917397448,34.45660188610264]}"
1_2020_07_01_+18340+7965,811.0,1,2020-03-01,6998.0,24.0,-1302.0560000000003,14813.0,"{""type"":""Point"",""coordinates"":[-117.89612768779813,34.182309105463396]}"
1_2020_07_01_+18355+7884,934.0,1,2020-03-01,5109.0,17.0,-914.2080000000001,14794.0,"{""type"":""Point"",""coordinates"":[-118.3278371939981,34.54653394532862]}"
1_2020_07_01_+18356+7883,944.0,1,2020-03-01,4672.0,20.0,-825.5960000000001,14708.0,"{""type"":""Point"",""coordinates"":[-118.3287718510939,34.551030548289916]}"
1_2020_07_01_+18357+7882,987.0,1,2020-03-01,5273.0,15.0,-942.9960000000001,14708.0,"{""type"":""Point"",""coordinates"":[-118.32970733806427,34.55552715125122]}"
1_2020_07_01_+18358+7883,1066.0,1,2020-03-01,4729.0,21.0,-824.096,14758.0,"{""type"":""Point"",""coordinates"":[-118.31863177222807,34.55477771742434]}"
1_2020_07_01_+18360+7881,1261.0,1,2020-03-01,5285.0,29.0,-913.388,14759.0,"{""type"":""Point"",""coordinates"":[-118.3218555458527,34.561522621866274]}"
1_2020_07_01_+18362+7880,1432.0,1,2020-03-01,6214.0,19.0,-1085.72,14680.0,"{""type"":""Point"",""coordinates"":[-118.31519949293991,34.56452035717382]}"
1_2020_08_01_+18325+7861,1152.0,1,2020-03-01,4644.0,35.0,-794.592,14721.0,"{""type"":""Point"",""coordinates"":[-118.6392455248711,34.649955813438496]}"
1_2020_08_01_+18326+7863,765.0,1,2020-03-01,5038.0,13.0,-918.068,14799.0,"{""type"":""Point"",""coordinates"":[-118.6236453936511,34.640962607515895]}"
1_2020_08_01_+18327+7864,893.0,1,2020-03-01,4856.0,25.0,-865.268,14799.0,"{""type"":""Point"",""coordinates"":[-118.62040804814676,34.642247351219126]}"
1_2020_08_01_+18330+7863,1023.0,1,2020-03-01,5178.0,35.0,-913.788,14784.0,"{""type"":""Point"",""coordinates"":[-118.61530056479569,34.65503262323351]}"
1_2020_08_01_+18331+7857,1213.0,1,2020-03-01,6360.0,23.0,-1136.22,14605.0,"{""type"":""Point"",""coordinates"":[-118.63268002060866,34.67019052676434]}"
1_2020_08_01_+18331+7861,907.0,1,2020-03-01,4997.0,32.0,-890.0880000000001,14784.0,"{""type"":""Point"",""coordinates"":[-118.60644917847627,34.649955813438496]}"
1_2020_08_01_+18331+7862,1061.0,1,2020-03-01,6691.0,30.0,-1214.3280000000002,14754.0,"{""type"":""Point"",""coordinates"":[-118.60001654354963,34.64545921047719]}"
1_2020_08_01_+18331+7863,1192.0,1,2020-03-01,6111.0,27.0,-1086.128,14754.0,"{""type"":""Point"",""coordinates"":[-118.59358533673579,34.64096260751589]}"
1_2020_08_01_+18332+7861,860.0,1,2020-03-01,4885.0,26.0,-874.212,14781.0,"{""type"":""Point"",""coordinates"":[-118.6009831207438,34.649955813438496]}"
1_2020_08_01_+18332+7864,1193.0,1,2020-03-01,4762.0,20.0,-818.5360000000001,14728.0,"{""type"":""Point"",""coordinates"":[-118.5816903891502,34.636466004554606]}"
1_2020_08_01_+18333+7866,1253.0,1,2020-03-01,5505.0,21.0,-961.396,14658.0,"{""type"":""Point"",""coordinates"":[-118.58141435433282,34.64064142159009]}"
1_2020_08_01_+18333+7969,316.0,1,2020-03-01,6421.0,9.0,-1239.968,14899.0,"{""type"":""Point"",""coordinates"":[-117.90814016939794,34.17106759806016]}"
1_2020_08_01_+18335+7967,674.0,1,2020-03-01,7295.0,35.0,-1371.168,14899.0,"{""type"":""Point"",""coordinates"":[-117.91659676293885,34.17556420102146]}"
1_2020_08_01_+18335+7969,262.0,1,2020-03-01,4063.0,1.0,-775.544,14977.0,"{""type"":""Point"",""coordinates"":[-117.90089274827375,34.16432269361821]}"
1_2020_08_01_+18336+7860,981.0,1,2020-03-01,4530.0,24.0,-792.4639999999999,14687.0,"{""type"":""Point"",""coordinates"":[-118.60685495924005,34.66900024950987]}"
1_2020_08_01_+18336+7964,690.0,1,2020-03-01,6296.0,14.0,-1176.596,14833.0,"{""type"":""Point"",""coordinates"":[-117.92415570247553,34.18680570842471]}"
1_2020_08_01_+18337+7849,1614.0,1,2020-03-01,6256.0,14.0,-1078.108,14594.0,"{""type"":""Point"",""coordinates"":[-118.65093458214183,34.70391504897409]}"
1_2020_08_01_+18337+7852,1397.0,1,2020-03-01,6047.0,6.0,-1059.272,14736.0,"{""type"":""Point"",""coordinates"":[-118.63159483674302,34.690425240090185]}"
1_2020_08_01_+18337+7860,946.0,1,2020-03-01,5073.0,21.0,-905.4399999999999,14690.0,"{""type"":""Point"",""coordinates"":[-118.58008511632379,34.654452416399785]}"
1_2020_08_01_+18337+7867,795.0,1,2020-03-01,4716.0,31.0,-845.532,14766.0,"{""type"":""Point"",""coordinates"":[-118.5398884496716,34.632661186664265]}"
1_2020_08_01_+18337+7966,507.0,1,2020-03-01,7328.0,24.0,-1398.2320000000002,14841.0,"{""type"":""Point"",""coordinates"":[-117.91069580647118,34.18495416602888]}"
1_2020_08_01_+18338+7854,1382.0,1,2020-03-01,6679.0,20.0,-1183.4840000000002,14672.0,"{""type"":""Point"",""coordinates"":[-118.63316604782445,34.69880527288169]}"
1_2020_08_01_+18339+7864,1098.0,1,2020-03-01,5341.0,28.0,-942.452,14601.0,"{""type"":""Point"",""coordinates"":[-118.55310572943802,34.648745189564295]}"
1_2020_08_01_+18339+7866,785.0,1,2020-03-01,4549.0,23.0,-816.3000000000001,14670.0,"{""type"":""Point"",""coordinates"":[-118.53058367282412,34.627472798631985]}"
1_2020_08_01_+18340+7858,1222.0,1,2020-03-01,5304.0,15.0,-925.704,14707.0,"{""type"":""Point"",""coordinates"":[-118.57655312769027,34.66344562232239]}"
1_2020_08_01_+18340+7962,687.0,1,2020-03-01,7075.0,36.0,-1325.96,14850.0,"{""type"":""Point"",""coordinates"":[-117.9149855247452,34.19579891434729]}"
1_2020_08_01_+18341+7855,1429.0,1,2020-03-01,6259.0,17.0,-1097.42,14455.0,"{""type"":""Point"",""coordinates"":[-118.60083509756173,34.69550835648121]}"
1_2020_08_01_+18341+7858,1203.0,1,2020-03-01,5724.0,29.0,-1007.404,14707.0,"{""type"":""Point"",""coordinates"":[-118.57108618020588,34.66344562232239]}"
1_2020_08_01_+18342+7847,1680.0,1,2020-03-01,5934.0,11.0,-1009.4159999999999,14418.0,"{""type"":""Point"",""coordinates"":[-118.63921893667708,34.71290825489669]}"
1_2020_08_01_+18342+7856,1329.0,1,2020-03-01,4967.0,51.0,-837.1240000000001,14667.0,"{""type"":""Point"",""coordinates"":[-118.58122460540454,34.67243882824498]}"
1_2020_08_01_+18342+7858,1252.0,1,2020-03-01,6047.0,24.0,-1068.428,14729.0,"{""type"":""Point"",""coordinates"":[-118.57537627700083,34.66644335762993]}"
1_2020_08_01_+18342+7865,903.0,1,2020-03-01,5353.0,21.0,-966.1000000000001,14645.0,"{""type"":""Point"",""coordinates"":[-118.52334604686011,34.631969401593295]}"
